codigoestacion,COD_MPIO,NOM_MPIO,NOM_DPTO,LATITUD,LONGITUD,precip_acum_mm,precip_max_10min,n_estaciones,alerta,prop_alertas,categoria,tamaño
0042077020,97666,TARAIRA,VAUPÉS,-0.719822209,-69.90776202,6.2,3.0,5,1,0.10469314079422383,Ligera (5–15 mm),6.818636124360854
0042077020,97777,PAPUNAHUA,VAUPÉS,1.569312273,-70.91166315,6.2,3.0,5,1,0.10469314079422383,Ligera (5–15 mm),6.818636124360854
0042077020,97889,YAVARATÉ,VAUPÉS,0.833312241,-69.61867754,6.2,3.0,5,1,0.10469314079422383,Ligera (5–15 mm),6.818636124360854
0044017070,19701,SANTA ROSA,CAUCA,1.52002179,-76.53876281,0.0,0.0,4,1,0.06882591093117409,Sin lluvia (0 mm),5.0
0044017110,19533,PIAMONTE,CAUCA,1.054128816,-76.4443271,0.4,0.4,4,1,0.05976095617529881,Muy ligera (< 5 mm),5.0
0044017110,86569,PUERTO CAICEDO,PUTUMAYO,0.70416861,-76.49864415,0.4,0.4,4,1,0.05976095617529881,Muy ligera (< 5 mm),5.0
0044017110,86885,VILLAGARZÓN,PUTUMAYO,0.911149515,-76.74495447,0.4,0.4,4,1,0.05976095617529881,Muy ligera (< 5 mm),5.0
0044017120,86001,MOCOA,PUTUMAYO,1.26070915,-76.66584349,0.0,0.0,3,1,0.09455587392550144,Sin lluvia (0 mm),5.0
0044035040,18001,FLORENCIA,CAQUETÁ,1.749138704,-75.55823906,0.0,0.0,4,1,0.058823529411764705,Sin lluvia (0 mm),5.0
0044035050,18479,MORELIA,CAQUETÁ,1.38299611,-75.67381123,0.0,0.0,3,1,0.06509539842873176,Sin lluvia (0 mm),5.0
0044045030,18029,ALBANIA,CAQUETÁ,1.22786549,-75.88232651,0.20000000000000004,0.2,3,1,0.054441260744985676,Muy ligera (< 5 mm),5.0
0044045030,18205,CURILLO,CAQUETÁ,1.115379292,-75.97328452,0.20000000000000004,0.2,3,1,0.054441260744985676,Muy ligera (< 5 mm),5.0
0044045030,18610,SAN JOSÉ DEL FRAGUA,CAQUETÁ,1.304702314,-76.11000594,0.20000000000000004,0.2,3,1,0.054441260744985676,Muy ligera (< 5 mm),5.0
0044045030,18785,SOLITA,CAQUETÁ,0.943939454,-75.64668544,0.20000000000000004,0.2,3,1,0.054441260744985676,Muy ligera (< 5 mm),5.0
0044045030,18860,VALPARAÍSO,CAQUETÁ,1.07534915,-75.73779004,0.20000000000000004,0.2,3,1,0.054441260744985676,Muy ligera (< 5 mm),5.0
0044045030,86571,PUERTO GUZMÁN,PUTUMAYO,0.746432215,-75.88022979,0.20000000000000004,0.2,3,1,0.054441260744985676,Muy ligera (< 5 mm),5.0
0044055010,18150,CARTAGENA DEL CHAIRÁ,CAQUETÁ,0.647693081,-74.27235499,0.0,0.0,6,1,0.25,Sin lluvia (0 mm),5.0
0044055010,18460,MILÁN,CAQUETÁ,1.146692554,-75.38664764,0.0,0.0,6,1,0.25,Sin lluvia (0 mm),5.0
0044055010,86573,PUERTO LEGUÍZAMO,PUTUMAYO,0.05947197,-75.06479327,0.0,0.0,6,1,0.25,Sin lluvia (0 mm),5.0
0044055010,91530,PUERTO ALEGRÍA,AMAZONAS,-0.952145073,-73.75722748,0.0,0.0,6,1,0.25,Sin lluvia (0 mm),5.0
0046015030,18592,PUERTO RICO,CAQUETÁ,2.018940891,-75.07308627,0.0,0.0,4,1,0.29411764705882354,Sin lluvia (0 mm),5.0
0046015030,18753,SAN VICENTE DEL CAGUÁN,CAQUETÁ,1.308465061,-74.19746971,0.0,0.0,4,1,0.29411764705882354,Sin lluvia (0 mm),5.0
0046015030,50350,LA MACARENA,META,2.161863917,-74.09488076,0.0,0.0,4,1,0.29411764705882354,Sin lluvia (0 mm),5.0
